Gene ID,Genomic Location (Gene),Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL
PF3D7_1420500,"Pf3D7_14_v3:849,819..853,349(-)","protein GPR89, putative",GO:0016020,membrane,null,null,null,null,GO:0016021,integral component of membrane,null,null,null,null,null,null
PF3D7_1420600,"Pf3D7_14_v3:854,094..855,963(-)","pantothenate kinase 1, putative",null,null,GO:0005524;GO:0004594,ATP binding;pantothenate kinase activity,GO:0015937,coenzyme A biosynthetic process,null,null,null,null,GO:0035690,cellular response to drug,2.7.1.33 (Pantothenate kinase),2.7.1.33 (Pantothenate kinase)
PF3D7_1420700,"Pf3D7_14_v3:860,011..863,080(+)",surface protein P113,GO:0046658,anchored component of plasma membrane,null,null,null,null,GO:0009986;GO:0020005,cell surface;symbiont-containing vacuole membrane,GO:0005515,protein binding,null,null,null,null
PF3D7_1420800,"Pf3D7_14_v3:863,623..864,820(-)","dynein light chain, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1420900,"Pf3D7_14_v3:865,346..866,805(-)","mannose-1-phosphate guanyltransferase, putative",null,null,GO:0016779,nucleotidyltransferase activity,GO:0009058,biosynthetic process,null,null,GO:0004475,mannose-1-phosphate guanylyltransferase activity,GO:0009298,GDP-mannose biosynthetic process,2.7.7.13 (Mannose-1-phosphate guanylyltransferase),2.7.7.13 (Mannose-1-phosphate guanylyltransferase)
PF3D7_1421000,"Pf3D7_14_v3:867,802..868,920(-)","DIX domain-containing protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1421100,"Pf3D7_14_v3:871,000..874,761(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1421150,"Pf3D7_14_v3:875,173..875,321(-)",C/D small nucleolar RNA,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1421200,"Pf3D7_14_v3:875,687..876,385(-)",40S ribosomal protein S25,null,null,null,null,null,null,GO:0022627;GO:0005634,cytosolic small ribosomal subunit;nucleus,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_1421300,"Pf3D7_14_v3:877,441..881,450(-)","conserved Plasmodium protein, unknown function",GO:0016021;GO:0005886,integral component of membrane;plasma membrane,GO:0008233;GO:0004252,peptidase activity;serine-type endopeptidase activity,GO:0006508,proteolysis,null,null,null,null,null,null,null,null
PF3D7_1421400,"Pf3D7_14_v3:881,957..883,672(-)","DNA-directed RNA polymerase III subunit RPC6, putative",GO:0005666,RNA polymerase III complex,GO:0003899,DNA-directed 5'-3' RNA polymerase activity,GO:0006383,transcription by RNA polymerase III,GO:0005666,RNA polymerase III complex,null,null,GO:0042797,tRNA transcription by RNA polymerase III,2.7.7.6 (DNA-directed RNA polymerase),2.7.7.6 (DNA-directed RNA polymerase)
PF3D7_1421500,"Pf3D7_14_v3:884,398..885,074(+)","mitochondrial import inner membrane translocase subunit TIM8, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1421600,"Pf3D7_14_v3:885,211..887,870(+)","conserved Plasmodium protein, unknown function",GO:0005576;GO:0016020,extracellular region;membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1421700,"Pf3D7_14_v3:887,932..888,120(-)",unspecified product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1421800,"Pf3D7_14_v3:888,838..889,953(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1421900,"Pf3D7_14_v3:891,140..891,622(-)","copper transporter, putative",GO:0016021,integral component of membrane,GO:0005375,copper ion transmembrane transporter activity,GO:0035434,copper ion transmembrane transport,null,null,null,null,null,null,null,null
PF3D7_1422000,"Pf3D7_14_v3:891,991..893,049(-)","cytochrome c oxidase assembly protein COX14, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1422100,"Pf3D7_14_v3:893,720..894,862(-)","mitochondrial ribosomal protein L21 precursor, putative",GO:0005840,ribosome,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1422200,"Pf3D7_14_v3:896,004..896,939(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1422300,"Pf3D7_14_v3:897,980..899,044(-)","DnaJ protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1422400,"Pf3D7_14_v3:900,386..905,278(+)","conserved Plasmodium protein, unknown function",GO:0016021;GO:0045095;GO:0016020,integral component of membrane;keratin filament;membrane,GO:0005524;GO:0004714,ATP binding;transmembrane receptor protein tyrosine kinase activity,GO:0006468;GO:0007169,protein phosphorylation;transmembrane receptor protein tyrosine kinase signaling pathway,null,null,null,null,null,null,null,null
PF3D7_1422500,"Pf3D7_14_v3:906,620..908,892(+)",ERAD-associated E3 ubiquitin-protein ligase HRD1,null,null,null,null,null,null,GO:0005783;GO:0005789,endoplasmic reticulum;endoplasmic reticulum membrane,GO:0016887;GO:0004842,ATPase activity;ubiquitin-protein transferase activity,GO:0010564;GO:0030433,regulation of cell cycle process;ubiquitin-dependent ERAD pathway,6.3.2.19 (Ubiquitin--protein ligase),6.3.2.19 (Ubiquitin--protein ligase)
PF3D7_1422600,"Pf3D7_14_v3:910,227..912,152(+)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0005576,cytoplasm;extracellular region,GO:0005488;GO:0005198,binding;structural molecule activity,GO:0006817,phosphate ion transport,null,null,null,null,null,null,null,null
PF3D7_1422700,"Pf3D7_14_v3:913,819..917,391(+)","conserved Plasmodium protein, unknown function",GO:0016020;GO:0005634,membrane;nucleus,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1422800,"Pf3D7_14_v3:918,429..919,997(-)","actin-related protein, putative",null,null,null,null,null,null,GO:0005884,actin filament,GO:0005200,structural constituent of cytoskeleton,GO:0007010;GO:0006897;GO:0006887,cytoskeleton organization;endocytosis;exocytosis,null,null
PF3D7_1422900,"Pf3D7_14_v3:922,931..924,208(+)","14-3-3 protein, putative",null,null,GO:0019904,protein domain specific binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1423000,"Pf3D7_14_v3:924,964..926,427(-)","nucleolar GTP-binding protein 2, putative",null,null,GO:0005525,GTP binding,null,null,GO:0030687,"preribosome, large subunit precursor",GO:0003924,GTPase activity,GO:0000055,ribosomal large subunit export from nucleus,3.6.5.1 (Heterotrimeric G-protein GTPase),3.6.5.1 (Heterotrimeric G-protein GTPase)
PF3D7_1423100,"Pf3D7_14_v3:929,503..931,281(+)","ankyrin-repeat protein, putative",null,null,GO:0005515,protein binding,null,null,null,null,null,null,null,null,null,6.3.2.- (Acid--amino-acid ligases (peptide synthases).)
PF3D7_1423200,"Pf3D7_14_v3:933,059..935,357(+)",peptidyl-prolyl cis-trans isomerase,null,null,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,GO:0000413,protein peptidyl-prolyl isomerization,null,null,null,null,GO:0006457,protein folding,5.2.1.8 (Peptidylprolyl isomerase),5.2.1.8 (Peptidylprolyl isomerase)
PF3D7_1423300,"Pf3D7_14_v3:936,168..941,638(+)",serine/threonine protein phosphatase 7,null,null,GO:0005509;GO:0016787;GO:0005515,calcium ion binding;hydrolase activity;protein binding,null,null,GO:0005737;GO:0005634,cytoplasm;nucleus,GO:0004722,protein serine/threonine phosphatase activity,GO:0006470,protein dephosphorylation,3.1.3.16 (Protein-serine/threonine phosphatase),3.1.3.16 (Protein-serine/threonine phosphatase)
PF3D7_1423400,"Pf3D7_14_v3:942,192..946,990(+)","conserved Plasmodium membrane protein, unknown function",GO:0005737;GO:0016020;GO:0005634,cytoplasm;membrane;nucleus,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1423500,"Pf3D7_14_v3:947,387..952,348(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1423600,"Pf3D7_14_v3:955,865..958,066(+)","calcium-dependent protein kinase, putative",null,null,GO:0005524;GO:0004672,ATP binding;protein kinase activity,GO:0006468,protein phosphorylation,null,null,GO:0004683,calmodulin-dependent protein kinase activity,GO:0006468,protein phosphorylation,2.7.11.17 (Calcium/calmodulin-dependent protein kinase),2.7.11.17 (Calcium/calmodulin-dependent protein kinase)
PF3D7_1423700,"Pf3D7_14_v3:959,074..963,750(-)","conserved Plasmodium protein, unknown function",GO:0005737,cytoplasm,GO:0005524,ATP binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1423800,"Pf3D7_14_v3:967,563..972,311(+)","vacuolar protein sorting-associated protein 3, putative",GO:0016021;GO:0016020,integral component of membrane;membrane,GO:0005515,protein binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1423900,"Pf3D7_14_v3:972,775..972,860(-)",small nucleolar RNA snoR23,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1424000,"Pf3D7_14_v3:973,147..973,225(-)",small nucleolar RNA snoR24,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1424100,"Pf3D7_14_v3:973,853..975,543(-)","60S ribosomal protein L5, putative",GO:0005622;GO:0005739;GO:0005840,intracellular;mitochondrion;ribosome,GO:0008097;GO:0003735,5S rRNA binding;structural constituent of ribosome,GO:0006412,translation,GO:0022625;GO:1903561;GO:0005634,cytosolic large ribosomal subunit;extracellular vesicle;nucleus,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_1424200,"Pf3D7_14_v3:974,006..974,074(-)",small nucleolar RNA snoR25,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1424300,"Pf3D7_14_v3:975,241..975,336(-)",small nucleolar RNA snoR26,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1424400,"Pf3D7_14_v3:977,908..979,166(+)","60S ribosomal protein L7-3, putative",null,null,null,null,null,null,GO:0022625;GO:1903561;GO:0005634,cytosolic large ribosomal subunit;extracellular vesicle;nucleus,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_1424500,"Pf3D7_14_v3:979,464..979,605(+)",small nucleolar RNA snoR27,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1424600,"Pf3D7_14_v3:979,767..979,836(+)",small nucleolar RNA snoR28,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1424700,"Pf3D7_14_v3:981,588..981,671(+)",small nucleolar RNA snoR29,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1424800,"Pf3D7_14_v3:981,881..981,998(+)",unspecified product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1424900,"Pf3D7_14_v3:982,154..982,228(+)",small nucleolar RNA snoR30,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1425000,"Pf3D7_14_v3:982,349..982,520(+)",Plasmodium RNA of unknown function RUF4,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1425100,"Pf3D7_14_v3:982,892..983,018(+)",small nucleolar RNA snoR31,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1425200,"Pf3D7_14_v3:983,341..984,561(-)","enoyl-CoA hydratase, putative",GO:0005737;GO:0016507;GO:0005739,cytoplasm;mitochondrial fatty acid beta-oxidation multienzyme complex;mitochondrion,GO:0003857;GO:0008692;GO:0051287;GO:0003824;GO:0004165;GO:0004300,3-hydroxyacyl-CoA dehydrogenase activity;3-hydroxybutyryl-CoA epimerase activity;NAD binding;catalytic activity;dodecenoyl-CoA delta-isomerase activity;enoyl-CoA hydratase activity,GO:0006635;GO:0009062;GO:0008152,fatty acid beta-oxidation;fatty acid catabolic process;metabolic process,null,null,null,null,null,null,4.2.1.17 (Enoyl-CoA hydratase),4.2.1.17 (Enoyl-CoA hydratase)
PF3D7_1425300,"Pf3D7_14_v3:985,365..987,755(-)","conserved Plasmodium protein, unknown function",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1425400,"Pf3D7_14_v3:989,220..992,930(+)","DEAD/DEAH box helicase, putative",null,null,GO:0005524;GO:0003676,ATP binding;nucleic acid binding,null,null,null,null,GO:0004386,helicase activity,null,null,3.6.4.13 (RNA helicase),3.6.4.13 (RNA helicase)
PF3D7_1425500,"Pf3D7_14_v3:993,652..994,300(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1425600,"Pf3D7_14_v3:995,161..1,000,506(-)","zinc finger protein, putative",GO:0005634,nucleus,GO:0003723;GO:0046872;GO:0008270,RNA binding;metal ion binding;zinc ion binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1425700,"Pf3D7_14_v3:1,006,643..1,008,069(+)","conserved Plasmodium protein, unknown function",GO:0016021,integral component of membrane,null,null,GO:0006810;GO:0070072,transport;vacuolar proton-transporting V-type ATPase complex assembly,null,null,null,null,null,null,null,null
PF3D7_1425800,"Pf3D7_14_v3:1,009,010..1,011,910(+)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0016020;GO:0005634,cytoplasm;membrane;nucleus,GO:0000166,nucleotide binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1425900,"Pf3D7_14_v3:1,012,696..1,014,265(-)","conserved Plasmodium protein, unknown function",null,null,GO:0005524;GO:0003688;GO:0005488;GO:0017111,ATP binding;DNA replication origin binding;binding;nucleoside-triphosphatase activity,GO:0006260;GO:0006270;GO:0006275,DNA replication;DNA replication initiation;regulation of DNA replication,null,null,null,null,null,null,null,null
PF3D7_1426000,"Pf3D7_14_v3:1,016,133..1,016,618(-)",60S ribosomal protein L21,GO:0005622;GO:0005840,intracellular;ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,GO:0022625;GO:0005634,cytosolic large ribosomal subunit;nucleus,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_1426100,"Pf3D7_14_v3:1,018,745..1,019,260(-)","transcription factor BTF3, putative",null,null,null,null,null,null,GO:0005854;GO:0005634;GO:0005667,nascent polypeptide-associated complex;nucleus;transcription factor complex,null,null,null,null,null,null
PF3D7_1426200,"Pf3D7_14_v3:1,021,652..1,022,857(-)",protein arginine N-methyltransferase 1,null,null,GO:0008168,methyltransferase activity,GO:0006479,protein methylation,GO:0005737;GO:0005634,cytoplasm;nucleus,GO:0016274,protein-arginine N-methyltransferase activity,GO:0016070;GO:0006396;GO:0016571;GO:0042254,RNA metabolic process;RNA processing;histone methylation;ribosome biogenesis,2.1.1.125 (Histone-arginine N-methyltransferase),2.1.1.125 (Histone-arginine N-methyltransferase)
PF3D7_1426300,"Pf3D7_14_v3:1,023,948..1,025,765(-)","dynein intermediate chain, putative",null,null,GO:0005515,protein binding,null,null,GO:0005856,cytoskeleton,GO:0003777,microtubule motor activity,GO:0007018,microtubule-based movement,null,null
PF3D7_1426400,"Pf3D7_14_v3:1,026,262..1,027,144(-)","MORN repeat protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1426500,"Pf3D7_14_v3:1,027,966..1,029,948(-)",ABC transporter G family member 2,GO:0016020,membrane,GO:0005524;GO:0016887,ATP binding;ATPase activity,null,null,GO:0044444;GO:0005886,cytoplasmic part;plasma membrane,GO:0042626;GO:0005319,"ATPase activity, coupled to transmembrane movement of substances;lipid transporter activity",GO:0006869,lipid transport,null,3.6.3.27 (Phosphate-transporting ATPase)
PF3D7_1426600,"Pf3D7_14_v3:1,031,065..1,035,360(-)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1426700,"Pf3D7_14_v3:1,036,137..1,039,583(-)",phosphoenolpyruvate carboxylase,null,null,GO:0003824;GO:0008964,catalytic activity;phosphoenolpyruvate carboxylase activity,GO:0015977;GO:0006099,carbon fixation;tricarboxylic acid cycle,null,null,GO:0008964,phosphoenolpyruvate carboxylase activity,GO:0015977,carbon fixation,4.1.1.31 (Phosphoenolpyruvate carboxylase),4.1.1.31 (Phosphoenolpyruvate carboxylase)
PF3D7_1426800,"Pf3D7_14_v3:1,043,057..1,049,590(+)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1426900,"Pf3D7_14_v3:1,050,050..1,050,316(-)","cytochrome b-c1 complex subunit 6, putative",null,null,GO:0008121,ubiquinol-cytochrome-c reductase activity,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",GO:0005750;GO:0005739,mitochondrial respiratory chain complex III;mitochondrion,GO:0008121,ubiquinol-cytochrome-c reductase activity,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",1.10.2.2 (Quinol--cytochrome-c reductase),1.10.2.2 (Quinol--cytochrome-c reductase)
PF3D7_1427000,"Pf3D7_14_v3:1,051,085..1,054,594(+)","conserved Plasmodium protein, unknown function",GO:0005737,cytoplasm,GO:0005524,ATP binding,null,null,GO:0020011,apicoplast,null,null,null,null,null,null
PF3D7_1427100,"Pf3D7_14_v3:1,056,162..1,060,124(+)","lipase, putative",null,null,null,null,GO:0006629,lipid metabolic process,null,null,null,null,null,null,3.1.1.3 (Triacylglycerol lipase);3.1.1.32 (Phospholipase A(1)),3.1.1.3 (Triacylglycerol lipase)
PF3D7_1427200,"Pf3D7_14_v3:1,061,805..1,062,779(+)",selenoprotein,null,null,null,null,null,null,GO:0005783,endoplasmic reticulum,GO:0016209;GO:0016491,antioxidant activity;oxidoreductase activity,GO:0045454,cell redox homeostasis,null,null
PF3D7_1427300,"Pf3D7_14_v3:1,064,142..1,069,386(+)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0016459,cytoplasm;myosin complex,GO:0005524;GO:0003779;GO:0005516,ATP binding;actin binding;calmodulin binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1427400,"Pf3D7_14_v3:1,077,357..1,079,721(-)","conserved Plasmodium membrane protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1427400,"Pf3D7_14_v3:1,077,357..1,079,721(-)","conserved Plasmodium membrane protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1427500,"Pf3D7_14_v3:1,081,773..1,084,208(+)","DNA mismatch repair protein MSH2, putative",null,null,GO:0005524;GO:0030983,ATP binding;mismatched DNA binding,GO:0006298,mismatch repair,null,null,GO:0003677,DNA binding,GO:0006298,mismatch repair,null,null
PF3D7_1427600,"Pf3D7_14_v3:1,085,603..1,087,039(+)","CorA-like Mg2+ transporter protein, putative",GO:0016021;GO:0005743;GO:0005739,integral component of membrane;mitochondrial inner membrane;mitochondrion,GO:0000287,magnesium ion binding,GO:0008380;GO:0006397,RNA splicing;mRNA processing,null,null,null,null,null,null,null,null
PF3D7_1427700,"Pf3D7_14_v3:1,087,436..1,087,627(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1427800,"Pf3D7_14_v3:1,088,362..1,089,102(-)",exosome complex component RRP41,null,null,null,null,null,null,GO:0005737;GO:0000178,cytoplasm;exosome (RNase complex),GO:0004527,exonuclease activity,GO:0016075,rRNA catabolic process,3.1.13.1 (Exoribonuclease II),2.7.7.56 (tRNA nucleotidyltransferase)
PF3D7_1427900,"Pf3D7_14_v3:1,092,936..1,093,781(+)",leucine-rich repeat protein,null,null,null,null,null,null,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_1428000,"Pf3D7_14_v3:1,095,686..1,097,731(+)","conserved Plasmodium membrane protein, unknown function",null,null,null,null,null,null,GO:0016021,integral component of membrane,null,null,null,null,null,null
PF3D7_1428100,"Pf3D7_14_v3:1,098,038..1,099,951(-)","WW domain-binding protein 11, putative",GO:0005737;GO:0016020,cytoplasm;membrane,null,null,GO:0006396,RNA processing,null,null,null,null,null,null,null,null
PF3D7_1428200,"Pf3D7_14_v3:1,101,958..1,104,387(+)","major facilitator superfamily domain-containing protein, putative",GO:0016021,integral component of membrane,null,null,GO:0055085,transmembrane transport,GO:0016021,integral component of membrane,null,null,GO:0042493,response to drug,null,null
PF3D7_1428300,"Pf3D7_14_v3:1,105,200..1,106,514(-)","proliferation-associated protein 2g4, putative",null,null,null,null,null,null,GO:0005634,nucleus,GO:0008235,metalloexopeptidase activity,GO:0007050;GO:0008283,cell cycle arrest;cell proliferation,null,3.4.-.- (Acting on peptide bonds (peptide hydrolases).)
PF3D7_1428400,"Pf3D7_14_v3:1,108,090..1,115,470(-)","WD and tetratricopeptide repeats protein 1, putative",GO:0005737;GO:0016020,cytoplasm;membrane,GO:0005515,protein binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1428500,"Pf3D7_14_v3:1,118,591..1,126,292(+)","protein kinase, putative",GO:0016020,membrane,GO:0005524;GO:0005515;GO:0004672,ATP binding;protein binding;protein kinase activity,GO:0006468,protein phosphorylation,null,null,null,null,null,null,2.7.11.1 (Non-specific serine/threonine protein kinase),2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_1428600,"Pf3D7_14_v3:1,127,042..1,129,031(+)",peptide chain release factor 1,null,null,GO:0003747,translation release factor activity,GO:0006415,translational termination,GO:0020011;GO:0005739,apicoplast;mitochondrion,GO:0043022,ribosome binding,null,null,3.1.1.29 (Aminoacyl-tRNA hydrolase),3.1.1.29 (Aminoacyl-tRNA hydrolase)
PF3D7_1428700,"Pf3D7_14_v3:1,129,470..1,130,771(-)","heme/steroid binding domain containing protein, putative",GO:0005739,mitochondrion,GO:0020037,heme binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1428800,"Pf3D7_14_v3:1,133,067..1,134,400(+)","transcription initiation TFIID-like, putative",GO:0016020,membrane,GO:0003677,DNA binding,GO:0006352,"DNA-templated transcription, initiation",null,null,null,null,null,null,null,null
PF3D7_1428800,"Pf3D7_14_v3:1,133,067..1,134,400(+)","transcription initiation TFIID-like, putative",null,null,GO:0003677,DNA binding,GO:0006352,"DNA-templated transcription, initiation",null,null,null,null,null,null,null,null
PF3D7_1428900,"Pf3D7_14_v3:1,134,854..1,139,191(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1429000,"Pf3D7_14_v3:1,140,579..1,141,292(-)","protein archease, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1429100,"Pf3D7_14_v3:1,142,154..1,143,791(+)","apicoplast ribosomal protein L15 precursor, putative",null,null,null,null,null,null,GO:0020011;GO:0000315,apicoplast;organellar large ribosomal subunit,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_1429200,"Pf3D7_14_v3:1,144,518..1,148,078(-)","AP2 domain transcription factor AP2-O3, putative",null,null,GO:0003700,DNA-binding transcription factor activity,GO:0006355,"regulation of transcription, DNA-templated",GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_1429300,"Pf3D7_14_v3:1,150,475..1,153,387(-)",CPW-WPC family protein,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1429400,"Pf3D7_14_v3:1,155,355..1,163,694(+)","rRNA (adenosine-2'-O-)-methyltransferase, putative",null,null,GO:0003723;GO:0008173,RNA binding;RNA methyltransferase activity,GO:0006396,RNA processing,null,null,GO:0030743,rRNA (adenosine-2'-O-)-methyltransferase activity,null,null,2.1.1.- (Methyltransferases.),2.1.1.230 (23S rRNA (adenosine(1067)-2'-O)-methyltransferase)
PF3D7_1429500,"Pf3D7_14_v3:1,164,332..1,166,566(+)","diphthamide biosynthesis protein 2, putative",null,null,null,null,null,null,null,null,null,null,null,null,6.3.1.14 (Diphthine--ammonia ligase),6.3.1.14 (Diphthine--ammonia ligase)
PF3D7_1429600,"Pf3D7_14_v3:1,167,144..1,167,803(+)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,GO:0020011;GO:0043657,apicoplast;host cell,null,null,null,null,null,null
PF3D7_1429700,"Pf3D7_14_v3:1,168,236..1,169,336(-)","mitochondrial ribosomal protein L15 precursor, putative",null,null,null,null,null,null,GO:0005762;GO:0005739,mitochondrial large ribosomal subunit;mitochondrion,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null
PF3D7_1429800,"Pf3D7_14_v3:1,170,829..1,175,293(+)","coatomer subunit beta, putative",GO:0030126;GO:0030117,COPI vesicle coat;membrane coat,GO:0005488;GO:0005198,binding;structural molecule activity,GO:0006886;GO:0016192,intracellular protein transport;vesicle-mediated transport,null,null,null,null,GO:0006888,ER to Golgi vesicle-mediated transport,null,null
PF3D7_1429900,"Pf3D7_14_v3:1,176,770..1,181,092(+)",ADP-dependent DNA helicase RecQ,null,null,GO:0005524;GO:0043140;GO:0008026;GO:0003824;GO:0003676;GO:0000166,ATP binding;ATP-dependent 3'-5' DNA helicase activity;ATP-dependent helicase activity;catalytic activity;nucleic acid binding;nucleotide binding,GO:0006310;GO:0006281;GO:0006260;GO:0044237,DNA recombination;DNA repair;DNA replication;cellular metabolic process,GO:0000781;GO:0005634,"chromosome, telomeric region;nucleus",null,null,GO:0032508;GO:0006310;GO:0006281,DNA duplex unwinding;DNA recombination;DNA repair,3.6.4.12 (DNA helicase),3.6.4.12 (DNA helicase)
PF3D7_1430000,"Pf3D7_14_v3:1,181,664..1,182,982(-)","conserved protein, unknown function",GO:0005737;GO:0016020,cytoplasm;membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1430100,"Pf3D7_14_v3:1,184,910..1,187,042(+)",serine/threonine protein phosphatase 2A activator,null,null,GO:0019211,phosphatase activator activity,null,null,GO:0005737;GO:0005634,cytoplasm;nucleus,GO:0051721;GO:0019888,protein phosphatase 2A binding;protein phosphatase regulator activity,null,null,null,5.2.1.8 (Peptidylprolyl isomerase)
PF3D7_1430200,"Pf3D7_14_v3:1,188,349..1,191,466(+)",plasmepsin IX,null,null,null,null,null,null,GO:0020008,rhoptry,GO:0004190,aspartic-type endopeptidase activity,GO:0030260;GO:0006508,entry into host cell;proteolysis,3.4.23.- (Aspartic endopeptidases.),3.4.23.1 (Pepsin A)
PF3D7_1430300,"Pf3D7_14_v3:1,191,946..1,199,919(-)","acid phosphatase, putative",GO:0005737,cytoplasm,GO:0003993,acid phosphatase activity,null,null,null,null,null,null,null,null,3.1.3.2 (Acid phosphatase),3.1.3.2 (Acid phosphatase)
PF3D7_1430400,"Pf3D7_14_v3:1,201,748..1,204,339(+)","autophagy protein 5, putative",GO:0005737,cytoplasm,null,null,GO:0006914,autophagy,null,null,null,null,null,null,null,null
PF3D7_1430500,"Pf3D7_14_v3:1,205,088..1,206,416(+)","conserved Plasmodium protein, unknown function",null,null,GO:0000166,nucleotide binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1430600,"Pf3D7_14_v3:1,207,398..1,210,028(+)","endonuclease/exonuclease/phosphatase family protein, putative",null,null,null,null,null,null,null,null,GO:0004536,deoxyribonuclease activity,null,null,3.1.16.1 (Spleen exonuclease),null
PF3D7_1430700,"Pf3D7_14_v3:1,211,012..1,212,776(+)",NADP-specific glutamate dehydrogenase,null,null,GO:0016491;GO:0016639,"oxidoreductase activity;oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",GO:0006520;GO:0055114,cellular amino acid metabolic process;oxidation-reduction process,GO:0020011;GO:0009986,apicoplast;cell surface,GO:0004354,glutamate dehydrogenase (NADP+) activity,GO:0006520;GO:0006537,cellular amino acid metabolic process;glutamate biosynthetic process,1.4.1.4 (Glutamate dehydrogenase (NADP(+))),1.4.1.4 (Glutamate dehydrogenase (NADP(+)))
